Id;Default;En
0;CABINE EN DEFAUT;FAULTY BOOTH
1;CABINE LIBRE;STANDBY
2;MODE MANUEL EN COURS;MANUAL MODE IN PROGRES
3;RECETTE EN COURS;PROTOCOL IN PROGRESS
4;MODE DEPOLLUTION EN COUR;DECONTAMINATION IN PROGRES
5;MODE NETTOYAGE EN COURS;CLEANING IN PROGRESS
6;MODE ECO EN COURS;ECO MODE IN PROGRESS
7;MODE MAINTENANCE;MAINTENANCE MODE
8;MODE STOP;STOP MODE
;;
